segment_id,start_time,end_time,duration,text,video_id,video_title,video_url,personality,domain,uploader,upload_date,language,video_duration,expertise_areas
0,0.0,8.9,8.9,"Hello everyone, in this short Bloomberg tutorial I explain how you can get help and what's",-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
1,8.9,12.64,3.74,really useful to start using the Bloomberg Terminal.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
2,12.64,18.8,6.16,"After you created your login, I suggest you to go to the Help page and read the introduction",-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
3,18.8,19.8,1.0,through.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
4,19.8,23.72,3.919999999999998,It really helps you to get the basic structure behind the terminal.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
5,23.72,28.44,4.720000000000002,"In the beginning I thought it's super difficult to navigate on Bloomberg, but actually it's",-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
6,28.44,31.080000000000002,2.6400000000000006,not that hard if you're used to it.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
7,31.080000000000002,36.96,5.879999999999999,So to get to the Help page you go up here to the question mark and then press Help,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
8,36.96,37.96,1.0,page.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
9,37.96,40.42,2.460000000000001,This will open you this small window.,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
10,40.42,46.24,5.82,If you're new to Bloomberg I really suggest to take the time to read through all of these,-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
11,46.24,52.16,5.919999999999995,"pages and what might be also useful in your case when you want to go through that, you",-MkECuqzW_w,Help & getting started with the Bloomberg Terminal,https://www.youtube.com/watch?v=-MkECuqzW_w,bloomy,finance_excel,ExplainHowToSimply,20211022,en,70,"bloomberg,excel,finance,data analysis,trading,financial modeling"
